package,built
assertthat,3.5.1
backports,3.5.1
base64enc,3.5.0
BH,3.5.0
bindr,3.5.1
bindrcpp,3.5.1
bitops,3.5.2
boot,3.5.2
broom,3.5.1
callr,3.5.1
caTools,3.5.2
cellranger,3.5.1
class,3.5.2
cli,3.5.1
clipr,3.5.1
clisymbols,3.5.1
cluster,3.5.2
codetools,3.5.2
colorspace,3.5.1
cowsay,3.5.2
crayon,3.5.1
curl,3.5.1
data.table,3.5.1
DBI,3.5.1
dbplyr,3.5.1
desc,3.5.1
devtools,3.5.1
digest,3.5.1
dplyr,3.5.1
evaluate,3.5.1
fansi,3.5.1
fbcutils,3.5.2
forcats,3.5.1
foreign,3.5.2
fortunes,3.5.2
fs,3.5.1
generics,3.5.1
ggplot2,3.5.1
gh,3.5.1
git2r,3.5.1
glue,3.5.1
gtable,3.5.1
haven,3.5.1
here,3.5.2
highr,3.5.1
hms,3.5.1
htmltools,3.5.1
httr,3.5.1
ini,3.5.1
jpeg,3.5.0
jsonlite,3.5.1
KernSmooth,3.5.2
knitr,3.5.1
labeling,3.5.0
lattice,3.5.2
lazyeval,3.5.1
lubridate,3.5.1
magrittr,3.5.1
margins,3.5.2
markdown,3.5.1
MASS,3.5.2
Matrix,3.5.2
memoise,3.5.1
mgcv,3.5.2
mime,3.5.1
modelr,3.5.1
multicolor,3.5.2
munsell,3.5.1
nlme,3.5.2
nnet,3.5.2
openssl,3.5.1
pillar,3.5.1
pkgbuild,3.5.1
pkgconfig,3.5.1
pkgload,3.5.1
plogr,3.5.1
plyr,3.5.1
png,3.5.0
prediction,3.5.2
prettyunits,3.5.1
processx,3.5.1
progress,3.5.1
ps,3.5.1
purrr,3.5.1
R6,3.5.1
rcmdcheck,3.5.2
RColorBrewer,3.5.0
Rcpp,3.5.1
readr,3.5.1
readxl,3.5.2
rematch,3.5.1
remotes,3.5.1
reprex,3.5.1
reshape2,3.5.1
rJava,3.5.2
rlang,3.5.1
rmarkdown,3.5.1
rmsfact,3.5.2
rpart,3.5.2
rprojroot,3.5.1
rstudioapi,3.5.1
rvest,3.5.1
scales,3.5.1
selectr,3.5.1
sessioninfo,3.5.1
spatial,3.5.2
stringi,3.5.1
stringr,3.5.1
survival,3.5.2
tibble,3.5.1
tidyr,3.5.1
tidyselect,3.5.1
tidyverse,3.5.1
tinytex,3.5.1
translations,3.5.2
usethis,3.5.2
utf8,3.5.1
whisker,3.5.1
viridisLite,3.5.1
withr,3.5.1
xfun,3.5.1
xlsx,3.5.2
xlsxjars,3.5.2
xml2,3.5.1
xopen,3.5.1
yaml,3.5.1
