package,libpath,version,priority,built
assertthat,C:/_Eivarmisteta/R-3.5.2/library,0.2.0,NA,3.5.1
backports,C:/_Eivarmisteta/R-3.5.2/library,1.1.3,NA,3.5.1
base,C:/_Eivarmisteta/R-3.5.2/library,3.5.2,base,3.5.2
base64enc,C:/_Eivarmisteta/R-3.5.2/library,0.1-3,NA,3.5.0
BH,C:/_Eivarmisteta/R-3.5.2/library,1.66.0-1,NA,3.5.0
bindr,C:/_Eivarmisteta/R-3.5.2/library,0.1.1,NA,3.5.1
bindrcpp,C:/_Eivarmisteta/R-3.5.2/library,0.2.2,NA,3.5.1
bitops,C:/_Eivarmisteta/R-3.5.2/library,1.0-6,NA,3.5.2
boot,C:/_Eivarmisteta/R-3.5.2/library,1.3-20,recommended,3.5.2
broom,C:/_Eivarmisteta/R-3.5.2/library,0.5.1,NA,3.5.1
callr,C:/_Eivarmisteta/R-3.5.2/library,3.1.0,NA,3.5.1
caTools,C:/_Eivarmisteta/R-3.5.2/library,1.17.1.1,NA,3.5.2
cellranger,C:/_Eivarmisteta/R-3.5.2/library,1.1.0,NA,3.5.1
class,C:/_Eivarmisteta/R-3.5.2/library,7.3-14,recommended,3.5.2
cli,C:/_Eivarmisteta/R-3.5.2/library,1.0.1,NA,3.5.1
clipr,C:/_Eivarmisteta/R-3.5.2/library,0.4.1,NA,3.5.1
clisymbols,C:/_Eivarmisteta/R-3.5.2/library,1.2.0,NA,3.5.1
cluster,C:/_Eivarmisteta/R-3.5.2/library,2.0.7-1,recommended,3.5.2
codetools,C:/_Eivarmisteta/R-3.5.2/library,0.2-15,recommended,3.5.2
colorspace,C:/_Eivarmisteta/R-3.5.2/library,1.3-2,NA,3.5.1
compiler,C:/_Eivarmisteta/R-3.5.2/library,3.5.2,base,3.5.2
cowsay,C:/_Eivarmisteta/R-3.5.2/library,0.7.0,NA,3.5.2
crayon,C:/_Eivarmisteta/R-3.5.2/library,1.3.4,NA,3.5.1
curl,C:/_Eivarmisteta/R-3.5.2/library,3.2,NA,3.5.1
data.table,C:/_Eivarmisteta/R-3.5.2/library,1.11.8,NA,3.5.1
datasets,C:/_Eivarmisteta/R-3.5.2/library,3.5.2,base,3.5.2
DBI,C:/_Eivarmisteta/R-3.5.2/library,1.0.0,NA,3.5.1
dbplyr,C:/_Eivarmisteta/R-3.5.2/library,1.2.2,NA,3.5.1
desc,C:/_Eivarmisteta/R-3.5.2/library,1.2.0,NA,3.5.1
devtools,C:/_Eivarmisteta/R-3.5.2/library,2.0.1,NA,3.5.1
digest,C:/_Eivarmisteta/R-3.5.2/library,0.6.18,NA,3.5.1
dplyr,C:/_Eivarmisteta/R-3.5.2/library,0.7.8,NA,3.5.1
evaluate,C:/_Eivarmisteta/R-3.5.2/library,0.12,NA,3.5.1
fansi,C:/_Eivarmisteta/R-3.5.2/library,0.4.0,NA,3.5.1
fbcutils,C:/_Eivarmisteta/R-3.5.2/library,0.0.0.9000,NA,3.5.2
